#,"",Player,Overall Score,Potential Score,Height,Weight,Age,Preferred Foot,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
1919,1918,Lukáš Masopust,74,74,179,76,30,Right,74.5,67.5,71.333333,70.333333,78.000000,64.250,8.0
1920,1919,Sergio Barreto,74,79,183,77,23,Right,49.0,71.5,58.833333,50.333333,72.857143,37.750,11.8
1921,1920,Wilson Manafá,74,74,175,72,28,Right,70.5,70.5,70.166667,66.000000,76.000000,56.875,8.0
1922,1921,Calvin Bassey,74,83,185,76,23,Left,65.0,74.5,64.833333,64.666667,81.428571,50.125,7.2
1923,1922,Samuele Birindelli,74,80,176,70,23,Right,70.0,72.0,64.666667,68.000000,77.428571,55.000,11.6
1924,1923,Jakub Moder,74,83,188,78,23,Right,73.5,69.0,72.000000,73.333333,69.285714,67.875,12.4
1925,1924,Edon Zhegrova,74,81,181,66,23,Left,78.0,19.5,57.000000,66.333333,74.714286,58.250,8.6
1926,1925,Marin Pongračić,74,78,193,97,25,Right,63.5,76.5,61.000000,52.333333,66.285714,33.750,7.8
1927,1926,Max Aarons,74,79,171,69,23,Right,74.0,70.5,70.333333,65.000000,75.428571,40.750,9.2
1928,1927,Gerzino Nyamsi,74,78,195,94,26,Right,58.0,74.5,61.333333,50.666667,58.428571,40.000,11.6
1929,1928,Zian Flemming,74,76,185,84,24,Right,74.0,55.0,70.000000,70.000000,73.857143,73.375,8.8
1930,1929,Sikou Niakaté,74,81,186,76,23,Left,62.5,74.0,60.500000,53.333333,75.142857,42.250,9.8
1931,1930,Takefusa Kubo,74,84,173,67,21,Left,80.0,45.5,57.833333,65.666667,71.714286,61.250,9.6
1932,1931,Mihailo Ristić,74,75,180,79,27,Left,74.5,70.5,65.833333,68.666667,69.428571,58.500,8.4
1933,1932,Manolis Siopis,74,74,171,67,28,Right,67.0,75.0,68.333333,66.333333,78.857143,50.625,8.6
1934,1933,Myron Boadu,74,82,181,67,22,Right,73.5,20.0,60.833333,58.000000,79.857143,67.375,11.0
1935,1934,Santiago Bueno,74,80,190,76,24,Right,52.5,74.0,61.666667,56.000000,62.000000,38.125,9.0
1936,1935,Jefferson Savarino,74,75,169,66,26,Right,77.0,36.0,61.333333,65.333333,75.714286,64.125,10.6
1937,1936,Enzo Copetti,74,75,180,88,27,Right,67.0,48.5,70.000000,63.000000,82.857143,64.500,11.4
1938,1937,Gabriel Gudmundsson,74,82,180,74,23,Left,73.5,70.0,67.166667,70.666667,74.571429,58.000,8.6
1939,1938,Brenner,74,79,175,70,23,Right,76.5,27.0,57.666667,62.333333,72.000000,66.625,10.0
1940,1939,Mitchel Bakker,74,80,185,87,22,Left,69.0,72.5,67.166667,67.333333,74.000000,54.250,9.8
1941,1940,Azor Matusiwa,74,78,173,72,24,Right,67.0,74.0,68.500000,60.666667,72.428571,49.625,10.2
1942,1941,Jadson,74,74,186,80,31,Right,52.5,74.0,60.833333,47.666667,70.285714,37.500,9.8
1943,1942,Kristoffer Zachariassen,74,74,180,74,29,Right,72.0,66.5,74.000000,69.333333,75.285714,63.000,11.4
1944,1943,Youssef Maleh,74,80,177,74,24,Left,77.0,67.5,71.000000,75.666667,69.000000,65.750,7.6
1945,1944,Danilo,74,78,174,68,23,Right,73.5,16.0,58.833333,55.000000,77.571429,70.000,9.4
1946,1945,Juan Manuel García,74,74,183,82,30,Right,69.0,29.5,63.000000,55.666667,75.571429,66.625,10.2
1947,1946,Timothy Weah,74,81,182,66,23,Right,75.0,41.0,64.000000,65.333333,74.285714,66.125,11.4
1948,1947,Abel Ruiz,74,82,180,75,23,Right,77.0,29.0,58.833333,64.333333,71.428571,66.875,8.8
1949,1948,Oliver Christensen,74,79,190,82,23,Right,17.5,12.0,37.166667,33.666667,46.428571,14.375,73.8
1950,1949,Andreaw Gravillon,74,78,185,80,25,Right,56.0,74.5,56.500000,51.333333,63.142857,46.500,11.4
1951,1950,Rasmus Nicolaisen,74,79,191,81,25,Left,61.0,73.0,63.666667,60.666667,64.285714,43.125,12.0
1952,1951,David Turnbull,74,78,185,75,23,Right,73.5,58.5,68.166667,75.666667,67.714286,69.250,8.6
1953,1952,Carlos Cuesta,74,81,179,81,23,Right,63.0,74.0,58.666667,55.666667,75.571429,35.500,10.8
1954,1953,Darko Brašanac,74,74,178,73,31,Right,73.5,73.0,75.000000,72.000000,61.571429,65.250,9.4
1955,1954,Elieser Danilo Baldeiro Lopes,74,74,186,85,27,Right,65.0,77.0,64.500000,59.000000,71.000000,60.750,15.0
1956,1955,Maxim Leitsch,74,79,189,83,24,Left,55.5,77.5,61.666667,63.000000,71.142857,42.375,11.8
1957,1956,Pol Lirola,74,78,183,70,25,Right,71.0,71.5,67.500000,71.666667,70.000000,62.375,10.2
1958,1957,Gustavo Hamer,74,79,169,61,25,Right,70.5,69.5,74.666667,75.000000,76.285714,69.125,9.0
1959,1958,Pedrinho,74,74,170,65,30,Right,77.0,60.0,69.833333,75.666667,74.571429,71.750,11.4
1960,1959,Yan Brice Eteki,74,80,182,76,25,Right,70.5,74.5,68.333333,66.666667,69.428571,50.250,9.4
1961,1960,Dante Vanzeir,74,78,175,77,24,Right,72.0,27.5,66.666667,64.333333,79.857143,69.750,8.8
1962,1961,Filip Ugrinic,74,81,184,88,24,Right,75.0,70.0,72.000000,71.000000,76.142857,67.375,10.8
1963,1962,Jordan Lotomba,74,78,177,71,24,Right,72.0,72.0,63.666667,66.666667,73.714286,50.375,11.6
1964,1963,Salvi Sánchez,74,74,175,64,31,Right,74.0,40.0,61.000000,72.666667,68.571429,63.000,8.8
1965,1964,Mario González,74,77,183,77,27,Right,74.0,16.5,58.000000,64.000000,72.142857,65.250,10.8
1966,1965,Vitaly Janelt,74,80,184,79,24,Left,73.0,74.0,74.166667,73.000000,72.000000,61.625,8.0
1967,1966,Léo Duarte,74,78,183,79,26,Right,57.5,76.0,61.500000,55.000000,65.857143,38.875,10.6
1968,1967,Efecan Karaca,74,74,166,56,33,Right,75.0,38.5,62.166667,71.000000,68.714286,60.250,10.8
1969,1968,Japhet Tanganga,74,80,180,73,23,Right,70.5,75.5,68.666667,63.666667,73.571429,42.625,10.6
1970,1969,Alessio Castro-Montes,74,76,175,67,25,Right,73.0,72.0,71.500000,70.666667,73.571429,66.375,11.2
1971,1970,Eray Cömert,74,79,183,80,25,Right,56.0,72.5,62.666667,63.333333,75.000000,56.125,6.4
1972,1971,Hugo Cuypers,74,76,185,78,26,Right,69.0,15.5,59.666667,64.000000,73.000000,67.000,11.8
1973,1972,Marshall Munetsi,74,79,188,83,26,Right,72.0,73.0,68.166667,66.666667,63.714286,53.500,9.8
1974,1973,Florian Müller,74,79,190,88,25,Left,21.0,11.5,34.166667,23.666667,46.857143,17.750,73.4
1975,1974,Douglas Armeira,74,74,174,74,31,Right,68.0,73.0,66.500000,63.666667,73.142857,56.875,9.6
1976,1975,Dany Mota,74,80,180,74,24,Right,78.0,28.0,58.000000,62.333333,74.428571,68.375,10.0
1977,1976,Michael Ngadeu,74,74,190,87,32,Right,58.0,73.0,62.500000,59.000000,63.285714,44.250,7.6
1978,1977,Ryan Yates,74,79,190,77,25,Right,66.5,70.0,69.166667,62.000000,71.000000,54.250,8.2
1979,1978,Alexis Claude-Maurice,74,77,175,64,24,Right,79.5,69.0,70.666667,69.666667,76.428571,69.375,13.6
1980,1979,Luis Pérez,74,74,174,71,28,Right,64.5,70.5,67.833333,63.000000,84.000000,46.500,9.0
1981,1980,Adam Ounas,74,75,172,65,26,Left,79.0,50.5,65.833333,68.333333,74.428571,64.625,8.2
1982,1981,Amir Hadžiahmetović,74,77,179,71,25,Right,73.5,71.5,70.833333,71.000000,69.428571,60.625,11.4
1983,1982,Alexander Hack,74,75,193,88,29,Left,51.5,74.0,61.833333,65.000000,64.428571,43.125,6.4
1984,1983,Michael Dimeira,74,74,167,63,31,Right,83.0,39.0,53.166667,72.666667,67.857143,56.250,9.8
1985,1984,Benjamin Meseira,74,74,180,75,27,Right,69.0,69.5,64.000000,64.333333,73.571429,48.875,10.4
1986,1985,Jorge Sánchez,74,76,175,71,25,Right,69.5,70.0,67.833333,64.000000,83.000000,51.875,10.2
1987,1986,Christian Bassogog,74,74,173,72,27,Left,76.0,34.0,58.666667,60.000000,85.571429,68.375,8.0
1988,1987,Allan Bardinho,74,74,175,72,31,Left,77.0,32.5,61.500000,74.666667,65.000000,60.625,12.0
1989,1988,Kaimo Lima,74,74,188,77,27,Left,69.0,73.0,68.000000,73.666667,69.000000,65.875,9.4
1990,1989,Silvan Hefti,74,79,183,80,25,Right,65.0,72.0,64.166667,67.000000,78.714286,53.125,9.8
1991,1990,Faïz Selemani,74,74,182,65,29,Right,75.5,57.5,66.166667,70.000000,73.428571,68.375,8.4
1992,1991,Jamiro Monteiro,74,74,175,72,29,Right,77.0,63.0,71.500000,72.333333,73.857143,60.750,7.4
1993,1992,Ailtio Coelho,74,74,176,75,31,Left,73.5,24.5,62.666667,70.000000,71.857143,71.125,13.2
1994,1993,Kevin Mac Allister,74,77,175,72,25,Right,70.5,74.5,70.833333,62.666667,79.714286,49.625,8.2
1995,1994,Nahitan Nández,74,75,172,70,27,Right,76.0,71.0,76.833333,68.333333,80.857143,58.750,10.0
1996,1995,Diegildo Ramos,74,74,185,80,31,Left,72.0,24.0,64.000000,65.333333,42.714286,79.750,10.0
1997,1996,Arijanet Murić,74,81,197,81,24,Right,22.0,12.5,38.833333,41.333333,46.714286,19.625,74.6
1998,1997,Nicholas Aldair,74,74,187,81,31,Right,73.5,41.5,67.166667,66.000000,69.857143,71.000,10.0
1999,1998,Murilo Sancha,74,74,176,76,35,Right,74.0,69.0,63.666667,70.000000,75.428571,60.500,9.4
2000,1999,Takuma Asano,74,74,173,71,28,Right,76.0,21.0,60.833333,59.666667,80.571429,61.250,10.2
2001,2000,Roni Gameira,74,74,180,76,31,Right,72.0,24.5,61.833333,58.000000,70.714286,69.500,8.2
2002,2001,João Nunes,74,77,186,78,27,Right,55.5,77.5,57.833333,62.333333,66.428571,47.375,9.8
2003,2002,Aleñá,74,79,180,73,25,Left,73.5,54.5,71.500000,73.666667,65.285714,60.125,10.2
2004,2003,Elias Fontoira,74,74,186,74,27,Right,74.5,70.0,73.500000,72.333333,68.714286,70.375,9.8
2005,2004,Santiago Ascacíbar,74,78,168,68,26,Right,66.0,77.5,67.500000,61.666667,76.000000,48.250,8.8
2006,2005,Iván Alejo,74,74,184,76,28,Right,77.0,45.0,63.500000,72.666667,70.428571,66.000,11.8
2007,2006,Joe Worrall,74,76,190,90,26,Right,44.5,75.5,55.500000,58.333333,59.428571,34.125,10.0
2008,2007,Bautista Merlini,74,74,167,65,27,Right,74.0,45.0,63.666667,67.333333,75.571429,60.875,10.8
2009,2008,Ibrahima Sissoko,74,78,193,90,25,Right,74.0,72.5,73.000000,70.000000,62.142857,59.375,10.4
2010,2009,Pedro Miguel Lopes Pereira,74,79,185,72,25,Right,71.0,73.0,66.666667,69.333333,73.000000,44.500,9.6
2011,2010,Enzo Marteiro,74,74,191,80,31,Right,16.0,14.5,38.333333,25.666667,47.571429,19.500,74.2
2012,2011,Toni Villa,74,74,173,63,28,Right,75.0,55.0,67.000000,73.333333,67.285714,60.750,11.6
2013,2012,Lino Essier,74,74,183,77,31,Left,66.5,76.0,66.166667,70.666667,69.000000,54.625,9.8
2014,2013,Mykola Matvienko,74,79,182,74,26,Left,68.0,75.5,66.666667,73.333333,73.142857,46.000,9.0
2015,2014,Eltildo Correia,74,74,188,78,31,Right,50.0,76.0,65.000000,67.666667,61.428571,57.625,10.6
2016,2015,Robson Denho,74,74,181,78,31,Right,63.5,73.5,72.333333,69.000000,68.142857,63.000,12.4
2017,2016,Otávio Cairinho,74,74,179,80,31,Right,50.0,75.5,61.666667,62.333333,66.285714,55.125,10.2
2018,2017,Gérson Damesio,74,74,182,80,31,Right,62.0,77.5,57.666667,54.333333,60.142857,38.125,11.0
2019,2018,Tom Davies,74,76,180,70,24,Right,76.5,71.5,73.666667,73.000000,64.714286,59.750,11.2
2020,2019,Nilson Alfarinho,74,74,190,89,39,Right,13.0,16.5,39.000000,26.666667,45.857143,19.625,73.2
2021,2020,Edval Anton,74,74,183,71,31,Left,72.0,70.5,73.000000,72.333333,69.428571,55.875,10.4
2022,2021,Joe Rodon,74,80,193,88,25,Right,58.5,74.0,56.166667,56.666667,61.428571,40.125,9.8
2023,2022,Mauro Cildinho,74,74,172,64,27,Right,73.5,69.0,62.666667,70.333333,73.571429,52.125,10.2
2024,2023,Bruno Valdez,74,74,180,80,30,Right,55.5,73.0,62.666667,61.333333,67.142857,45.375,11.8
2025,2024,Caio Nunson,74,74,185,85,23,Left,60.0,74.5,61.833333,60.333333,60.857143,57.500,10.4
2026,2025,Alexandru Mitriță,74,74,165,68,28,Right,75.0,24.0,59.166667,64.666667,71.714286,63.375,8.8
2027,2026,Marko Pjaca,74,74,186,83,27,Right,80.0,38.0,59.833333,73.666667,68.857143,72.125,9.4
2028,2027,Mauri Borgho,74,74,172,71,31,Right,71.5,72.5,67.833333,72.000000,69.857143,64.500,10.6
2029,2028,Dani Rochelinhas,74,74,178,75,31,Left,75.5,32.5,67.166667,70.333333,68.285714,63.625,10.0
2030,2029,Lassana Coulibaly,74,77,183,77,26,Right,72.0,73.5,71.000000,67.333333,73.000000,58.000,9.8
2031,2030,Harold Moukoudi,74,77,191,96,25,Right,50.0,73.0,63.500000,53.000000,56.285714,37.500,12.4
2032,2031,Germano Cuba,74,74,170,68,27,Left,74.5,69.0,67.000000,71.000000,77.714286,60.375,11.6
2033,2032,Douglas Carvalheira,74,74,174,74,35,Left,71.0,70.0,59.666667,68.666667,78.000000,43.375,10.8
2034,2033,Julian Ryerson,74,78,183,86,25,Right,73.5,74.0,69.833333,67.333333,74.000000,53.375,8.4
2035,2034,Vinicius Cardenha,74,74,179,73,31,Right,66.5,73.0,62.833333,64.666667,71.000000,52.125,11.8
2036,2035,Meirelinson,74,74,182,79,31,Right,73.0,75.0,63.500000,68.333333,70.714286,51.250,10.6
2037,2036,Faitout Maouassa,74,77,170,73,24,Left,74.0,72.5,69.166667,71.666667,77.285714,63.125,8.4
2038,2037,Fabien Centonze,74,75,182,75,27,Right,69.5,70.0,70.166667,69.000000,77.428571,54.000,12.0
2039,2038,Thomas Ouwejan,74,77,183,77,26,Left,72.5,66.0,71.500000,77.666667,72.857143,63.500,10.2
2040,2039,Lawrence Ati Zigi,74,79,188,87,26,Right,17.5,19.0,37.833333,20.333333,48.285714,22.875,71.8
2041,2040,Jordan Larsson,74,77,175,68,25,Left,74.5,15.5,64.500000,69.333333,77.285714,70.000,12.0
2042,2041,Vanja Milinković-Savić,74,78,202,90,26,Right,16.5,17.0,42.166667,26.333333,46.571429,36.250,74.4
2043,2042,Omar Colley,74,74,191,87,30,Left,53.0,76.0,59.500000,52.666667,65.142857,38.750,9.8
2044,2043,Connor Roberts,74,75,175,76,27,Right,70.0,69.5,64.833333,68.000000,74.285714,51.375,10.2
2045,2044,Bright Osayi-Samuel,74,79,175,74,25,Right,78.0,67.0,65.666667,63.333333,83.571429,54.625,12.8
2046,2045,Ivan Ordets,74,74,195,88,30,Right,49.5,73.0,61.000000,56.000000,61.285714,53.500,12.6
2047,2046,Borja Mayoral,74,79,182,74,25,Right,74.5,26.5,64.000000,66.333333,70.857143,70.250,10.2
2048,2047,Melero,74,74,183,77,29,Right,72.0,70.0,72.333333,72.666667,64.000000,72.875,11.4
2049,2048,Khaled Narey,74,74,180,75,28,Right,75.0,65.0,67.166667,69.000000,78.000000,59.000,13.0
2050,2049,Adam Masina,74,74,191,87,29,Left,71.0,75.5,66.166667,71.000000,65.142857,47.375,10.8
2051,2050,Diego Valoyes,74,75,181,76,26,Right,73.0,48.5,65.500000,68.000000,75.428571,65.000,10.0
2052,2051,Gabriel Ávalos,74,74,188,91,32,Right,74.5,41.5,65.666667,60.000000,75.571429,64.625,13.0
2053,2052,Petar Stojanović,74,75,178,72,27,Right,72.5,74.5,66.833333,74.333333,72.285714,55.375,8.8
2054,2053,Gyrano Kerk,74,74,175,68,27,Right,73.5,26.0,63.500000,63.000000,83.142857,64.625,13.6
2055,2054,David Barbona,74,74,179,69,28,Right,72.5,39.0,59.833333,71.666667,72.000000,61.875,10.0
2056,2055,Guilherme Sityá,74,74,180,79,32,Left,71.0,68.0,65.000000,70.333333,80.142857,63.250,8.4
2057,2056,Ola Aina,74,76,184,82,26,Right,73.5,73.5,65.666667,69.333333,77.000000,57.500,10.0
2058,2057,Haris Belkebla,74,74,177,68,29,Right,71.0,72.5,69.833333,71.000000,62.142857,53.750,13.4
2059,2058,Chris Willock,74,76,178,67,25,Right,75.5,25.5,57.333333,65.333333,74.285714,63.875,9.0
2060,2059,Kamil Grabara,74,79,195,85,24,Right,23.5,17.5,39.833333,33.333333,47.714286,22.125,73.2
2061,2060,Walter Bou,74,74,174,74,29,Right,71.5,52.5,69.833333,64.000000,80.714286,69.625,12.4
2062,2061,Luis Rioja González,74,74,176,70,29,Left,77.0,35.5,57.166667,71.333333,72.142857,65.125,10.2
2063,2062,Emmanuel Boateng,74,77,175,70,26,Right,70.0,34.0,62.666667,56.333333,86.142857,67.250,13.4
2064,2063,Maximilian Wittek,74,75,173,70,27,Left,70.5,70.5,69.166667,69.333333,77.857143,68.125,11.8
2065,2064,Stijn Spierings,74,77,188,83,26,Right,70.0,70.5,68.000000,66.000000,66.428571,64.000,12.8
2066,2065,Merquelanz,74,74,176,72,27,Left,74.5,57.5,66.000000,73.666667,66.428571,71.375,10.8
2067,2066,Alexis Castro,74,74,183,71,28,Left,74.5,69.0,72.166667,71.000000,73.142857,68.875,11.6
2068,2067,Almamy Touré,74,76,183,81,26,Right,73.5,74.5,68.333333,68.333333,73.142857,53.375,10.4
2069,2068,Yeimar Gómez Andrade,74,74,187,92,30,Right,58.5,71.5,60.500000,50.333333,63.000000,37.750,11.6
2070,2069,Pedro Gallese,74,74,191,79,33,Right,20.5,19.0,42.166667,32.000000,46.000000,21.375,72.0
2071,2070,Petros,74,74,182,81,33,Right,73.5,74.0,76.666667,70.000000,72.142857,63.000,12.4
2072,2071,Akim Zedadka,74,75,173,72,27,Right,72.5,72.0,65.833333,68.000000,71.714286,53.375,10.4
2073,2072,Zsolt Kalmár,74,75,185,81,27,Right,73.5,45.0,65.000000,71.333333,65.714286,69.375,10.8
2074,2073,Andrés Mosquera,74,74,185,85,31,Left,17.0,20.0,32.833333,25.333333,48.142857,21.500,71.8
2075,2074,Rafael Ratão,74,74,183,82,27,Right,77.0,43.5,60.000000,64.000000,76.571429,70.375,13.0
2076,2075,Morten Thorsby,74,76,189,79,26,Right,73.5,72.0,75.500000,72.000000,73.428571,60.500,11.4
2077,2076,Jaume,74,74,185,73,32,Right,22.5,17.0,38.833333,47.333333,59.285714,22.000,73.0
2078,2077,Mattia Caldara,74,74,187,80,28,Right,62.5,77.5,59.333333,51.666667,65.428571,36.875,8.6
2079,2078,Unai López,74,75,170,69,27,Right,75.0,64.5,72.166667,77.000000,75.857143,66.375,12.4
2080,2079,Antonio Čolak,74,74,188,81,29,Right,70.5,25.5,64.333333,53.000000,71.000000,67.750,10.4
2081,2080,Isaac Success,74,75,182,90,27,Right,76.5,28.5,59.333333,66.333333,71.142857,65.000,11.0
2082,2081,Jonjoe Kenny,74,75,175,72,25,Right,69.5,76.0,69.000000,67.666667,70.428571,55.500,12.6
2083,2082,Karol Świderski,74,77,184,78,26,Left,72.0,20.0,63.500000,59.666667,68.428571,69.500,11.2
2084,2083,Gustavo Scarpa,74,74,175,68,29,Left,75.0,41.5,60.666667,75.333333,70.714286,65.375,13.4
2085,2084,Benno Schmitz,74,74,182,75,28,Right,69.5,73.5,72.333333,71.333333,67.571429,54.750,12.4
2086,2085,Andreas Bouchalakis,74,74,186,79,29,Left,72.5,69.0,71.000000,73.000000,66.000000,70.250,12.4
2087,2086,Lewis Cook,74,76,175,71,26,Right,77.5,70.0,71.833333,74.666667,68.000000,62.000,12.2
2088,2087,Carlos Fernández,74,76,186,71,26,Left,77.5,21.5,62.833333,62.000000,64.142857,68.250,10.8
2089,2088,Damian Szymański,74,75,185,81,27,Right,69.0,71.0,73.000000,65.000000,72.428571,62.250,13.8
2090,2089,Jaïro Riedewald,74,75,182,79,26,Left,71.0,73.0,69.000000,74.000000,62.571429,60.125,12.2
2091,2090,Benson Manuel,74,77,166,70,25,Left,77.5,34.5,59.166667,67.666667,80.428571,64.125,13.4
2092,2091,Andrés Felipe Roa,74,74,175,67,29,Right,77.5,53.0,69.166667,70.333333,68.571429,65.750,11.0
2093,2092,Paul Bernardoni,74,79,190,78,25,Left,20.5,15.0,35.833333,21.333333,41.000000,21.625,73.8
2094,2093,Mariano,74,74,180,76,29,Right,69.5,37.0,66.833333,55.666667,76.857143,75.125,11.0
2095,2094,Ezequiel Ponce,74,78,180,80,25,Right,73.5,29.0,60.500000,58.000000,75.000000,69.750,9.6
2096,2095,Sebastiano Luperto,74,77,191,75,26,Left,60.0,76.0,64.333333,63.666667,63.000000,55.750,9.4
2097,2096,Jacob Rinne,74,75,188,87,29,Left,23.0,15.0,43.166667,31.333333,47.571429,21.750,73.2
2098,2097,Lovre Kalinić,74,74,201,96,32,Left,13.0,17.0,40.000000,16.333333,42.000000,19.250,70.6
2099,2098,Miloš Veljković,74,75,188,83,27,Right,58.5,74.5,62.333333,57.666667,60.857143,37.625,11.8
2100,2099,Samu,74,77,170,64,26,Left,78.5,64.5,68.666667,68.000000,75.428571,60.875,9.8
2101,2100,Marcus Ingvartsen,74,75,186,80,27,Left,75.0,34.0,64.333333,62.666667,69.571429,73.750,11.2
2102,2101,Phillipp Mwene,74,74,172,68,29,Right,73.5,72.0,65.333333,68.000000,78.714286,46.375,9.6
2103,2102,Mattia Aramu,74,75,180,69,27,Left,77.5,50.0,64.000000,73.333333,71.857143,64.500,9.6
2104,2103,Sandro,74,75,175,71,27,Right,76.5,24.5,61.000000,66.333333,69.000000,74.000,10.4
2105,2104,Richard Ortiz,74,74,174,75,32,Left,70.0,67.5,73.000000,66.666667,78.428571,66.875,13.0
2106,2105,Guido Herrera,74,74,187,67,31,Left,20.0,16.0,41.833333,21.333333,58.428571,22.750,73.4
2107,2106,Jean Michaël Seri,74,74,171,74,31,Right,74.0,66.0,71.666667,75.666667,66.571429,66.625,11.6
2108,2107,Mbaye Diagne,74,74,191,86,31,Right,66.5,27.0,58.833333,54.333333,60.571429,70.875,9.0
2109,2108,Cédric Brunner,74,74,180,75,29,Right,67.0,73.5,68.000000,67.000000,71.428571,51.625,10.0
2110,2109,David von Ballmoos,74,76,192,90,28,Right,23.0,19.0,39.833333,26.000000,54.428571,22.500,74.2
2111,2110,David Brooks,74,77,180,62,25,Left,79.5,46.5,68.166667,73.666667,64.000000,67.500,10.2
2112,2111,Philip Zinckernagel,74,74,175,70,28,Right,74.0,32.0,66.666667,68.666667,74.142857,65.500,10.2
2113,2112,Maximilian Philipp,74,74,183,79,29,Right,77.5,41.0,60.500000,66.666667,69.571429,70.875,9.8
2114,2113,Cican Stanković,74,74,187,86,30,Right,14.0,14.5,31.333333,18.333333,54.142857,18.750,72.2
2115,2114,Rodrigo Battaglia,74,74,187,79,31,Right,72.5,75.0,74.166667,66.333333,65.428571,61.000,7.8
2116,2115,Helibelton Palacios,74,74,181,76,29,Right,59.0,73.5,64.000000,63.666667,75.571429,43.625,9.2
2117,2116,Julien De Sart,74,74,187,72,28,Right,71.0,70.0,72.500000,77.000000,59.714286,72.875,10.8
2118,2117,Yury Lodygin,74,74,187,82,32,Right,18.5,17.5,35.666667,21.666667,46.428571,20.875,74.0
2119,2118,Armando Izzo,74,74,183,81,31,Right,64.5,76.0,58.000000,52.333333,66.142857,38.750,10.2
2120,2119,Luca Waldschmidt,74,77,181,74,26,Left,75.5,18.5,61.666667,66.666667,70.142857,72.625,11.2
2121,2120,Gonzalo Piovi,74,74,180,72,28,Left,66.5,73.5,71.166667,70.666667,74.571429,62.375,12.6
2122,2121,Théo Bongonda,74,74,177,73,27,Left,78.0,25.0,62.833333,68.666667,74.714286,67.125,11.6
2123,2122,Zainadine,74,74,178,70,34,Right,61.5,72.5,62.000000,60.333333,73.857143,57.375,13.6
2124,2123,Bruno Varela,74,76,191,88,28,Right,22.0,16.0,35.166667,25.333333,50.000000,20.750,71.4
2125,2124,Jordan Amavi,74,74,176,70,28,Left,71.0,74.0,65.833333,70.666667,71.714286,61.000,11.6
2126,2125,Akapo,74,74,179,70,29,Right,70.0,73.0,64.000000,65.000000,76.000000,54.875,10.2
2127,2126,Marcel Tisserand,74,74,190,82,30,Right,69.5,72.0,69.500000,70.666667,75.000000,59.000,12.6
2128,2127,Brendan Chardonnet,74,76,181,74,28,Right,59.0,73.0,62.000000,58.666667,65.857143,48.125,11.6
2129,2128,Gonçalo Paciência,74,74,184,80,28,Right,76.5,26.5,70.000000,52.333333,66.285714,72.625,10.0
2130,2129,Islam Slimani,74,74,188,83,34,Right,71.0,36.0,73.833333,71.000000,60.714286,72.375,10.2
2131,2130,Medrán,74,74,178,71,28,Right,76.0,60.5,66.833333,77.333333,67.142857,71.500,12.4
2132,2131,Mikael Uhre,74,74,188,86,28,Right,70.5,30.0,60.833333,46.333333,77.142857,62.750,11.6
2133,2132,Gauthier Gallon,74,76,186,79,29,Right,17.5,14.5,40.166667,22.666667,46.285714,20.625,73.4
2134,2133,Nabil Bentaleb,74,75,187,78,28,Left,80.5,66.5,72.166667,71.666667,67.857143,71.875,11.8
2135,2134,Ryan Christie,74,74,178,71,28,Left,74.5,69.5,72.000000,71.000000,75.857143,67.500,9.8
2136,2135,Jonathan Osorio,74,74,175,68,30,Right,75.0,58.0,70.000000,69.666667,66.714286,63.375,10.8
2137,2136,Jimmy Cabot,74,74,164,64,28,Right,75.0,52.0,61.000000,67.000000,79.428571,57.250,12.4
2138,2137,Valentino Lazaro,74,75,180,75,26,Right,73.5,68.0,72.333333,74.000000,71.571429,67.125,9.6
2139,2138,Puertas,74,74,183,77,31,Right,73.0,35.0,67.333333,71.666667,74.714286,69.000,12.0
2140,2139,Leonel Miranda,74,74,173,70,29,Right,75.5,64.0,72.000000,73.666667,73.285714,66.875,11.8
2141,2140,Augusto Solari,74,74,180,80,31,Right,73.5,58.0,69.333333,71.000000,80.428571,61.625,10.6
2142,2141,John Swift,74,75,182,73,27,Right,75.5,60.0,63.666667,72.333333,66.571429,71.250,9.4
2143,2142,Lorenzo Reyes,74,74,180,85,31,Right,69.5,72.0,68.166667,65.333333,74.714286,55.375,12.4
2144,2143,Janik Haberer,74,74,186,79,28,Right,75.5,61.0,72.833333,69.666667,64.714286,62.500,13.6
2145,2144,Leonel Vangioni,74,74,181,68,35,Left,70.0,74.0,72.000000,71.333333,72.142857,65.000,9.0
2146,2145,Chuba Akpom,74,75,186,81,27,Right,70.5,24.0,60.666667,51.000000,77.857143,63.375,10.4
2147,2146,Niklas Stark,74,75,190,88,27,Right,66.0,74.5,68.166667,62.333333,70.000000,50.125,12.0
2148,2147,Fernando Zuqui,74,74,173,71,31,Right,72.5,67.5,71.833333,73.000000,76.714286,61.125,10.6
2149,2148,Florian Niederlechner,74,74,187,86,32,Right,73.5,31.5,68.333333,60.666667,70.000000,68.500,12.0
2150,2149,Christopher Lenz,74,74,181,81,28,Left,69.0,72.5,63.666667,70.000000,70.571429,50.625,10.8
2151,2150,Alexander Callens,74,74,186,76,30,Left,54.5,77.5,58.000000,54.000000,71.285714,48.875,11.2
2152,2151,Nikola Storm,74,74,178,74,28,Right,74.0,28.0,57.500000,70.000000,69.857143,67.875,10.4
2153,2152,Karol Linetty,74,74,176,73,28,Right,75.0,72.0,73.833333,70.666667,70.571429,56.375,10.4
