"",name,current_club_name,country_of_citizenship,position,sub_position,market_value_in_eur,contract_expiration_date,current_club_domestic_competition_id,overall_score,potential_score,Height,Weight,Age,preferred_foot,ball_skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping
455,Christos Albanis,Aek Athen,Greece,Attack,Left Winger,600000.0,2023-06-30,GR1,70,70,184,80,28,Right,74.5,26.5,57.333333,62.666667,68.285714,60.750,10.2
456,Damien Le Tallec,Aek Athen,Russia,Midfield,Defensive Midfield,800000.0,2023-06-30,GR1,71,71,187,77,32,Right,69.5,70.5,69.333333,64.666667,64.428571,59.250,9.6
457,Clement Michelin,Aek Athen,France,Defender,Right-Back,1500000.0,2023-06-30,GR1,71,73,179,70,25,Right,70.0,69.0,64.500000,69.333333,69.714286,52.125,11.8
458,Stratos Svarnas,Aek Athen,Greece,Defender,Centre-Back,2000000.0,2023-06-30,GR1,70,75,183,82,25,Right,46.0,70.5,56.166667,52.333333,71.571429,38.000,9.2
459,Grzegorz Krychowiak,Aek Athen,Poland,Midfield,Defensive Midfield,6000000.0,2023-06-30,GR1,78,78,186,79,33,Right,73.5,74.0,75.000000,74.000000,58.142857,71.875,10.0
460,Hakan Ozmert,Antalyaspor,Turkey,Midfield,Central Midfield,100000.0,2023-06-30,TR1,66,66,178,76,37,Right,67.0,63.5,66.000000,71.666667,52.857143,66.500,11.8
462,Ruud Boffin,Antalyaspor,Belgium,Goalkeeper,Goalkeeper,375000.0,2023-06-30,TR1,70,70,196,86,35,Right,18.0,11.5,39.500000,13.666667,54.428571,20.250,68.6
463,Chuba Akpom,Paok Thessaloniki,England,Attack,Centre-Forward,2800000.0,2023-06-30,GR1,74,75,186,81,27,Right,70.5,24.0,60.666667,51.000000,77.857143,63.375,10.4
464,Alexandru Mitrita,Paok Thessaloniki,Romania,Attack,Left Winger,3000000.0,2023-06-30,GR1,74,74,165,68,28,Right,75.0,24.0,59.166667,64.666667,71.714286,63.375,8.8
465,Karol Swiderski,Paok Thessaloniki,Poland,Attack,Centre-Forward,5000000.0,2025-12-31,GR1,74,77,184,78,26,Left,72.0,20.0,63.500000,59.666667,68.428571,69.500,11.2
467,Christos Tzolis,Paok Thessaloniki,Greece,Attack,Left Winger,7000000.0,2023-06-30,GR1,72,80,184,73,21,Right,73.5,36.5,61.666667,60.666667,72.285714,67.750,10.6
468,Tobias Bech,Viborg Ff,Denmark,Attack,Right Winger,600000.0,2025-06-30,DK1,67,78,189,77,21,Left,69.0,35.0,53.666667,58.666667,70.857143,58.625,11.4
469,Adrian Nilsen Pereira,Paok Thessaloniki,Norway,Defender,Left-Back,700000.0,2025-12-31,GR1,67,74,177,75,23,Left,65.5,61.0,60.000000,59.333333,75.142857,56.250,9.0
470,Jose Crespo,Paok Thessaloniki,Spain,Defender,Centre-Back,450000.0,2024-05-31,GR1,70,70,185,78,36,Right,60.0,71.5,67.666667,65.666667,66.142857,43.500,9.0
471,Etienne Youte Kinkoue,Olympiakos Piraus,France,Defender,Centre-Back,300000.0,2025-06-30,GR1,63,76,195,88,21,Right,40.5,64.0,47.666667,49.333333,65.428571,38.375,9.6
472,Carlitos,Panathinaikos Athen,Spain,Attack,Centre-Forward,1000000.0,2024-06-30,GR1,72,72,177,71,32,Right,73.0,16.0,68.000000,65.000000,74.857143,71.250,9.8
473,Petros Bagalianis,Olympiakos Piraus,Greece,Defender,Centre-Back,300000.0,2023-06-30,GR1,74,74,182,81,33,Right,73.5,74.0,76.666667,70.000000,72.142857,63.000,12.4
474,Federico Macheda,Panathinaikos Athen,Italy,Attack,Centre-Forward,1000000.0,2024-06-30,GR1,71,71,185,77,31,Right,71.5,11.5,58.666667,58.000000,67.857143,68.375,11.0
475,Lucas Villafanez,Panathinaikos Athen,Argentina,Attack,Attacking Midfield,700000.0,2024-05-31,GR1,72,72,171,65,31,Right,75.0,41.0,62.833333,71.333333,69.285714,65.500,9.2
476,Ramon Pascal Lundqvist,Panathinaikos Athen,Sweden,Attack,Attacking Midfield,700000.0,2024-06-30,GR1,67,69,178,74,25,Right,69.5,55.0,62.833333,67.333333,65.000000,65.125,8.4
477,Michal Karbownik,Olympiakos Piraus,Poland,Defender,Left-Back,2500000.0,2023-06-30,GR1,70,78,175,65,21,Right,73.5,64.0,64.833333,68.333333,70.571429,45.000,10.0
478,Fran Velez,Panathinaikos Athen,Spain,Defender,Centre-Back,1000000.0,2024-06-30,GR1,73,73,182,81,31,Right,63.5,73.5,66.166667,63.333333,67.285714,42.500,10.4
479,Sokratis Dioudis,Panathinaikos Athen,Greece,Goalkeeper,Goalkeeper,750000.0,2023-06-30,GR1,74,75,190,77,30,Right,18.5,15.5,34.666667,20.666667,53.857143,22.875,73.4
480,Tomas Vaclik,Olympiakos Piraus,Czech Republic,Goalkeeper,Goalkeeper,2500000.0,2023-06-30,GR1,80,80,188,85,33,Right,17.0,18.0,45.500000,29.333333,52.000000,20.375,78.2
481,Awer Mabil,Kasimpasa,Australia,Attack,Left Winger,1500000.0,2023-06-30,TR1,70,70,179,65,27,Right,71.5,26.5,58.333333,63.000000,74.142857,63.875,14.2
482,Loret Sadiku,Kasimpasa,Albania,Midfield,Defensive Midfield,700000.0,2024-12-31,TR1,68,68,181,72,31,Right,58.0,65.0,63.666667,57.333333,61.285714,58.375,13.0
483,Kevin Varga,Kasimpasa,Hungary,Attack,Left Winger,1500000.0,2024-06-30,TR1,67,68,178,72,26,Right,64.0,35.5,57.000000,63.000000,67.142857,58.000,10.8
484,Bruno,Aris Thessaloniki,Brazil,Attack,Left Winger,800000.0,2024-05-31,GR1,67,67,184,80,32,Right,43.0,66.0,53.666667,52.666667,46.000000,40.500,10.0
485,Daniel Sundgren,Aris Thessaloniki,Sweden,Defender,Right-Back,700000.0,2024-06-30,GR1,71,71,179,69,32,Right,61.5,67.5,66.500000,63.333333,70.142857,50.125,9.4
487,Apostolos Giannou,Ofi Kreta,Australia,Attack,Centre-Forward,275000.0,2023-05-31,GR1,64,64,185,79,33,Right,61.0,32.5,54.333333,50.666667,65.428571,59.125,11.8
488,Bruce Kamau,Ofi Kreta,Australia,Attack,Right Winger,300000.0,2024-06-30,GR1,63,63,175,67,27,Right,62.0,55.5,50.000000,53.666667,73.571429,49.750,8.8
489,Lumor Agbenyenu,Aris Thessaloniki,Ghana,Defender,Left-Back,300000.0,2023-06-30,GR1,68,71,175,67,26,Left,68.5,63.0,63.166667,59.666667,74.857143,43.125,8.0
490,Louis Munteanu,Ac Florenz,Romania,Attack,Centre-Forward,600000.0,2023-06-30,IT1,64,79,184,77,20,Right,64.5,25.5,51.666667,52.333333,70.000000,58.000,9.2
491,Devis Epassy,Ofi Kreta,Cameroon,Goalkeeper,Goalkeeper,700000.0,2024-06-30,GR1,68,69,189,77,30,Right,20.5,19.5,30.666667,21.000000,46.142857,21.125,66.2
493,Giuseppe Ambrosino,Ssc Neapel,Italy,Attack,Centre-Forward,700000.0,2023-06-30,IT1,56,69,187,76,19,Right,55.5,25.5,46.333333,35.333333,60.142857,47.250,10.2
495,Gustav Dahl,Silkeborg If,Denmark,Defender,Left-Back,250000.0,2023-06-30,DK1,61,62,181,75,27,Left,60.5,57.5,56.166667,57.666667,66.142857,40.375,10.6
496,Magnus Christensen,Aalborg Bk,Denmark,Midfield,Central Midfield,450000.0,2025-07-31,DK1,64,70,190,74,25,Right,60.0,62.5,57.333333,56.666667,68.285714,46.625,8.6
499,Aleksandar Trajkovski,Aalborg Bk,North Macedonia,Attack,Left Winger,500000.0,2023-06-30,DK1,69,69,179,78,30,Right,73.5,20.0,51.666667,64.666667,67.428571,71.625,12.0
500,Tim Prica,Aalborg Bk,Sweden,Attack,Centre-Forward,1000000.0,2023-06-30,DK1,63,70,183,75,20,Left,67.0,15.0,55.166667,53.000000,68.714286,59.375,8.2
502,Anderson Souza Conceicao,Besiktas Istanbul,Brazil,Midfield,Defensive Midfield,3500000.0,2023-06-30,TR1,82,82,190,80,29,Left,83.5,48.5,72.666667,76.333333,76.571429,81.500,11.8
503,Francisco Montero,Besiktas Istanbul,Spain,Defender,Centre-Back,2500000.0,2025-06-30,TR1,69,75,185,76,24,Left,60.0,70.5,58.333333,56.666667,60.857143,35.625,10.2
504,Alexander Ammitzboll,Aarhus Gf,Denmark,Attack,Centre-Forward,200000.0,2025-12-31,DK1,60,65,187,79,24,Right,60.0,21.5,49.333333,43.333333,69.142857,49.000,11.6
505,Dawid Kurminowski,Aarhus Gf,Poland,Attack,Centre-Forward,400000.0,2023-06-30,DK1,65,74,182,73,24,Right,60.0,21.0,55.666667,42.666667,76.857143,54.750,10.2
506,Mustapha Bundu,Aarhus Gf,Sierra Leone,Attack,Right Winger,1000000.0,2023-06-30,DK1,69,72,188,79,26,Right,68.5,38.5,57.666667,63.666667,76.428571,58.250,7.4
507,Milan Jevtovic,Aarhus Gf,Serbia,Attack,Left Winger,400000.0,2024-06-30,DK1,64,64,184,77,29,Right,65.0,38.5,58.000000,59.000000,71.142857,59.500,9.6
508,Alex Gersbach,Aarhus Gf,Australia,Defender,Left-Back,700000.0,2023-06-30,DK1,64,68,183,73,25,Left,59.5,59.5,57.666667,55.666667,75.285714,40.125,8.8
509,Patrick Olsen,Aarhus Gf,Denmark,Midfield,Central Midfield,900000.0,2025-06-30,DK1,65,65,178,77,28,Right,64.0,53.5,66.333333,62.666667,67.857143,56.625,11.2
510,Sebastian Hausner,Aarhus Gf,Denmark,Defender,Centre-Back,500000.0,2025-12-31,DK1,66,75,188,79,22,Right,58.0,63.0,56.166667,53.666667,72.000000,38.625,9.0
511,Ahmed Kutucu,Istanbul Basaksehir Fk,Turkey,Attack,Centre-Forward,600000.0,2023-06-30,TR1,68,73,181,76,23,Right,68.0,49.0,57.833333,57.333333,69.857143,64.875,11.4
512,Junior Caicara,Istanbul Basaksehir Fk,Brazil,Defender,Right-Back,700000.0,2024-06-30,TR1,74,74,172,67,33,Right,74.5,72.0,70.833333,72.666667,75.285714,61.000,14.6
513,Alexander Munksgaard,Aarhus Gf,Denmark,Defender,Right-Back,300000.0,2023-12-31,DK1,64,69,181,75,25,Right,61.5,59.0,53.000000,56.666667,75.285714,44.875,10.2
514,Kamil Wilczek,Fc Kopenhagen,Poland,Attack,Centre-Forward,400000.0,2024-06-30,DK1,67,67,184,83,35,Left,65.5,32.0,66.166667,62.666667,62.285714,63.875,9.8
515,William Boving,Fc Kopenhagen,Denmark,Attack,Centre-Forward,3000000.0,2026-06-30,DK1,66,77,176,67,20,Right,67.0,28.0,55.166667,58.000000,72.857143,56.375,6.8
516,Viktor Fischer,Fc Kopenhagen,Denmark,Attack,Left Winger,2000000.0,2025-06-30,DK1,71,71,181,79,28,Right,73.5,30.0,61.833333,71.000000,65.857143,64.000,12.4
517,Pierre Neurath Bengtsson,Fc Kopenhagen,Sweden,Defender,Left-Back,200000.0,2023-12-31,DK1,64,64,177,74,34,Left,58.0,62.5,60.666667,61.666667,67.142857,55.750,10.2
519,Ruben Gabrielsen,Fc Kopenhagen,Norway,Defender,Centre-Back,800000.0,2023-12-31,DK1,70,70,187,86,30,Right,49.0,71.5,56.500000,46.000000,74.142857,51.375,10.4
521,Bozhidar Kraev,Fc Midtjylland,Bulgaria,Attack,Attacking Midfield,500000.0,2024-06-30,DK1,69,72,186,74,25,Right,71.0,42.5,62.666667,61.000000,69.714286,62.125,7.6
523,Victor Torp,Fc Midtjylland,Denmark,Midfield,Central Midfield,500000.0,2025-07-31,DK1,65,74,178,68,23,Right,68.5,52.5,60.333333,64.000000,66.571429,58.625,9.6
524,Victor Lind,Fc Midtjylland,Denmark,Attack,Centre-Forward,900000.0,2026-12-31,DK1,63,76,178,70,19,Left,64.0,35.0,54.500000,54.333333,71.428571,54.250,9.8
525,Ibrahim Sadiq,Fc Nordsjaelland,Ghana,Attack,Right Winger,1500000.0,2025-12-31,DK1,68,74,168,68,22,Right,68.0,28.0,57.333333,53.666667,85.142857,52.375,12.4
526,Magnus Kofod Andersen,Fc Nordsjaelland,Denmark,Midfield,Central Midfield,3000000.0,2025-06-30,DK1,71,77,175,64,23,Right,70.0,62.0,68.333333,68.333333,72.428571,60.000,9.6
527,Peter Vindahl Jensen,Fc Nordsjaelland,Denmark,Goalkeeper,Goalkeeper,650000.0,2023-06-30,DK1,70,76,195,89,25,Right,28.0,18.0,41.833333,33.000000,44.571429,21.000,69.2
528,Lorenzo Insigne,Ssc Neapel,Italy,Attack,Left Winger,15000000.0,2026-06-30,IT1,83,83,163,59,31,Right,87.5,23.0,63.500000,81.333333,72.285714,77.500,9.0
529,Axel Tuanzebe,Ssc Neapel,England,Defender,Centre-Back,6000000.0,2023-06-30,IT1,73,77,185,75,25,Right,68.0,73.0,68.333333,65.666667,71.571429,44.500,8.6
530,David Ospina,Ssc Neapel,Colombia,Goalkeeper,Goalkeeper,4500000.0,2024-06-30,IT1,80,80,183,80,34,Right,22.0,12.5,40.833333,26.333333,43.428571,19.625,79.6
531,Jose Callejon,Ac Florenz,Spain,Attack,Right Winger,1200000.0,2023-06-30,IT1,75,75,178,73,36,Right,75.0,32.0,68.166667,72.666667,72.000000,72.125,9.8
532,Vittorio Agostinelli,Ac Florenz,Italy,Attack,Attacking Midfield,100000.0,2023-06-30,IT1,57,73,183,74,21,Right,62.0,39.0,49.166667,54.000000,56.142857,46.375,10.0
533,Vladyslav Kulach,Dynamo Kiew,Ukraine,Attack,Centre-Forward,700000.0,2023-06-30,UKR1,66,66,178,74,29,Right,67.5,22.5,49.500000,51.666667,68.714286,56.000,9.0
534,Vitinho,Dynamo Kiew,Brazil,Attack,Left Winger,5000000.0,2026-06-30,UKR1,71,78,175,73,23,Right,72.5,69.0,63.500000,64.333333,78.000000,46.000,9.8
535,Vitinho,Dynamo Kiew,Brazil,Attack,Left Winger,5000000.0,2026-06-30,UKR1,65,73,175,68,23,Right,67.0,56.0,59.333333,62.000000,66.000000,61.875,8.6
536,Vitinho,Cercle Brugge,Brazil,Defender,Right-Back,2000000.0,2026-06-30,BE1,71,78,175,73,23,Right,72.5,69.0,63.500000,64.333333,78.000000,46.000,9.8
537,Vitinho,Cercle Brugge,Brazil,Defender,Right-Back,2000000.0,2026-06-30,BE1,65,73,175,68,23,Right,67.0,56.0,59.333333,62.000000,66.000000,61.875,8.6
538,Vitinho,Fc Arouca,Brazil,Midfield,Central Midfield,400000.0,2025-06-30,PO1,71,78,175,73,23,Right,72.5,69.0,63.500000,64.333333,78.000000,46.000,9.8
539,Vitinho,Fc Arouca,Brazil,Midfield,Central Midfield,400000.0,2025-06-30,PO1,65,73,175,68,23,Right,67.0,56.0,59.333333,62.000000,66.000000,61.875,8.6
540,Artem Besedin,Dynamo Kiew,Ukraine,Attack,Centre-Forward,1800000.0,2024-12-31,UKR1,70,73,190,84,26,Right,66.5,34.0,58.166667,47.666667,65.285714,59.250,8.4
541,Simon Tibbling,Randers Fc,Sweden,Midfield,Central Midfield,500000.0,2024-12-31,DK1,65,65,175,74,28,Right,65.5,47.5,60.166667,63.000000,64.714286,52.875,12.6
542,Vito Hammershoy Mistrati,Randers Fc,Denmark,Midfield,Central Midfield,550000.0,2024-06-30,DK1,67,67,177,76,30,Right,68.5,59.5,67.166667,65.666667,69.714286,64.000,11.6
543,Simon Graves,Randers Fc,Denmark,Defender,Centre-Back,1000000.0,2024-06-30,DK1,67,74,191,78,23,Right,60.0,67.0,56.833333,59.333333,57.000000,45.125,9.0
546,Lovro Cvek,Zorya Lugansk,Croatia,Midfield,Defensive Midfield,1000000.0,2024-06-30,UKR1,66,69,183,79,27,Right,55.0,65.0,57.500000,58.000000,65.428571,46.750,10.8
547,Simon Piesinger,Randers Fc,Austria,Defender,Centre-Back,400000.0,2025-06-30,DK1,68,68,196,84,30,Right,61.5,64.0,62.500000,62.333333,46.857143,58.375,9.8
548,Vladyslav Kochergin,Zorya Lugansk,Ukraine,Attack,Attacking Midfield,1800000.0,2025-06-30,UKR1,65,66,178,70,26,Right,66.0,32.5,49.166667,63.666667,63.142857,57.500,7.6
550,Juninho,Gd Chaves,Brazil,Attack,Right Winger,500000.0,2023-06-30,PO1,72,74,187,80,28,Left,58.0,72.0,58.666667,57.000000,71.571429,40.250,8.6
551,Juninho,Fc Midtjylland,Brazil,Defender,Centre-Back,1000000.0,2026-06-30,DK1,72,74,187,80,28,Left,58.0,72.0,58.666667,57.000000,71.571429,40.250,8.6
552,Allahyar Sayyadmanesh,Zorya Lugansk,Iran,Attack,Centre-Forward,4000000.0,2026-06-30,UKR1,68,79,180,77,21,Right,68.5,43.5,58.833333,57.000000,78.714286,62.500,11.8
553,Francisco Di Franco,Sk Dnipro 1,Argentina,Attack,Attacking Midfield,450000.0,2024-12-31,UKR1,64,64,174,74,28,Right,64.0,55.5,59.666667,63.000000,68.142857,55.750,10.0
555,Bill Tuiloma,Sk Dnipro 1,Brazil,Attack,Left Winger,250000.0,2026-12-31,UKR1,70,70,178,79,27,Right,59.0,68.0,64.000000,65.000000,66.714286,55.500,11.2
557,Sander Svendsen,Odense Boldklub,Norway,Attack,Centre-Forward,600000.0,2025-12-31,DK1,68,71,172,67,25,Right,67.0,30.5,58.833333,60.000000,79.428571,62.625,9.0
558,Jens Jakob Thomasen,Odense Boldklub,Denmark,Midfield,Central Midfield,600000.0,2023-06-30,DK1,64,66,177,65,26,Right,62.5,64.5,59.333333,62.333333,67.285714,56.125,11.8
559,Joel King,Odense Boldklub,Australia,Defender,Left-Back,500000.0,2025-06-30,DK1,64,75,179,78,22,Left,58.0,62.5,52.833333,59.000000,71.571429,35.250,10.0
560,Alvaro Ngamba,Kolos Kovalivka,Cameroon,Midfield,Central Midfield,150000.0,2023-12-31,UKR1,75,75,182,75,33,Right,54.5,76.5,62.833333,63.666667,68.142857,42.500,10.6
561,Alexander Juel Andersen,Odense Boldklub,Denmark,Defender,Centre-Back,250000.0,2023-12-31,DK1,64,64,190,84,32,Right,59.5,61.0,58.833333,59.000000,67.428571,47.875,11.4
562,Kyrylo Petrov,Kolos Kovalivka,Ukraine,Defender,Centre-Back,250000.0,2023-06-30,UKR1,63,63,186,85,32,Right,40.5,63.5,47.333333,33.000000,60.714286,35.125,12.6
563,Kyrylo Melichenko,Fk Mariupol,Ukraine,Defender,Right-Back,250000.0,2024-06-30,UKR1,65,71,176,70,23,Right,59.0,63.0,54.500000,59.333333,65.714286,44.250,11.6
564,Caleb Chukwuemeka,Livingston Fc,England,Attack,Centre-Forward,200000.0,2023-05-31,SC1,58,68,190,70,21,Right,59.0,12.5,41.000000,46.000000,70.714286,48.000,11.2
566,Fernando,Shakhtar Donetsk,Brazil,Attack,Centre-Forward,10000000.0,2027-06-30,UKR1,83,83,183,76,35,Right,73.5,83.5,77.666667,74.333333,71.285714,62.500,5.8
567,Fernando,Shakhtar Donetsk,Brazil,Attack,Centre-Forward,10000000.0,2027-06-30,UKR1,78,78,173,66,31,Right,74.0,77.5,73.666667,78.333333,76.000000,69.375,10.4
568,Fernando,Shakhtar Donetsk,Brazil,Attack,Centre-Forward,10000000.0,2027-06-30,UKR1,73,81,176,75,24,Right,77.0,39.0,62.500000,63.000000,72.285714,66.375,7.4
569,Fernando,Antalyaspor,Brazil,Midfield,Defensive Midfield,3000000.0,2024-06-30,TR1,83,83,183,76,35,Right,73.5,83.5,77.666667,74.333333,71.285714,62.500,5.8
570,Fernando,Antalyaspor,Brazil,Midfield,Defensive Midfield,3000000.0,2024-06-30,TR1,78,78,173,66,31,Right,74.0,77.5,73.666667,78.333333,76.000000,69.375,10.4
571,Fernando,Antalyaspor,Brazil,Midfield,Defensive Midfield,3000000.0,2024-06-30,TR1,73,81,176,75,24,Right,77.0,39.0,62.500000,63.000000,72.285714,66.375,7.4
572,Fernando,Fc Sevilla,Brazil,Midfield,Defensive Midfield,4000000.0,2024-06-30,ES1,83,83,183,76,35,Right,73.5,83.5,77.666667,74.333333,71.285714,62.500,5.8
573,Fernando,Fc Sevilla,Brazil,Midfield,Defensive Midfield,4000000.0,2024-06-30,ES1,78,78,173,66,31,Right,74.0,77.5,73.666667,78.333333,76.000000,69.375,10.4
574,Fernando,Fc Sevilla,Brazil,Midfield,Defensive Midfield,4000000.0,2024-06-30,ES1,73,81,176,75,24,Right,77.0,39.0,62.500000,63.000000,72.285714,66.375,7.4
575,Sergiy Kryvtsov,Shakhtar Donetsk,Ukraine,Defender,Centre-Back,2000000.0,2023-06-30,UKR1,74,74,186,83,31,Right,49.0,74.5,66.500000,59.666667,68.571429,42.375,13.2
576,Liam Harvey,Aberdeen Fc,Scotland,Attack,Centre-Forward,50000.0,2023-05-31,SC1,53,76,178,70,18,Right,47.0,15.5,40.000000,34.333333,58.714286,47.000,10.2
577,Christian Ramirez,Aberdeen Fc,United States,Attack,Centre-Forward,600000.0,2023-05-31,SC1,67,67,188,85,31,Right,67.0,25.0,59.500000,48.666667,67.000000,62.375,10.4
578,Ryan Hedges,Aberdeen Fc,Wales,Attack,Right Winger,1200000.0,2025-06-30,SC1,70,70,185,65,27,Left,72.0,38.5,55.500000,63.000000,72.000000,56.750,9.8
579,Pedrinho,Shakhtar Donetsk,Brazil,Attack,Right Winger,12000000.0,2023-06-30,UKR1,74,74,170,65,30,Right,77.0,60.0,69.833333,75.666667,74.571429,71.750,11.4
580,Pedrinho,Mke Ankaragucu,Portugal,Midfield,Central Midfield,1400000.0,2024-06-30,TR1,74,74,170,65,30,Right,77.0,60.0,69.833333,75.666667,74.571429,71.750,11.4
583,Teddy Jenks,Aberdeen Fc,England,Midfield,Central Midfield,325000.0,2023-05-31,SC1,58,73,192,82,20,Right,60.5,57.5,55.000000,54.000000,68.000000,50.875,11.2
584,Dylan Mcgeouch,Aberdeen Fc,Scotland,Midfield,Central Midfield,300000.0,2023-06-30,SC1,64,64,178,69,30,Right,67.5,58.0,61.833333,64.333333,65.571429,51.750,13.0
585,Dante Polvara,Aberdeen Fc,United States,Midfield,Defensive Midfield,100000.0,2024-05-31,SC1,57,66,195,81,23,Right,56.5,49.5,54.166667,54.000000,62.142857,42.875,9.4
586,Dean Campbell,Aberdeen Fc,Scotland,Midfield,Defensive Midfield,425000.0,2023-05-31,SC1,61,71,182,71,21,Left,62.5,54.5,53.000000,62.333333,67.000000,51.250,11.8
587,Jay Emmanuel Thomas,Aberdeen Fc,England,Attack,Centre-Forward,275000.0,2023-05-31,SC1,64,64,191,85,32,Left,61.5,32.0,56.666667,60.666667,65.714286,64.375,11.2
588,Gary Woods,Aberdeen Fc,England,Goalkeeper,Goalkeeper,250000.0,2023-05-31,SC1,61,61,183,78,32,Right,17.5,11.0,32.833333,22.000000,57.428571,18.250,60.4
589,Luizao,Vorskla Poltava,Brazil,Midfield,Defensive Midfield,250000.0,2025-06-30,UKR1,69,80,187,80,20,Left,50.0,70.5,61.166667,49.333333,64.285714,42.000,10.2
590,Luizao,Vorskla Poltava,Brazil,Midfield,Defensive Midfield,250000.0,2025-06-30,UKR1,64,68,184,75,25,Right,59.0,63.0,56.000000,57.333333,65.142857,44.625,10.8
591,Joonas Tamm,Vorskla Poltava,Estonia,Defender,Centre-Back,800000.0,2023-06-30,UKR1,66,66,192,90,31,Right,54.0,64.5,58.666667,48.000000,65.000000,59.625,11.4
592,Kristian Dennis,St Mirren Fc,England,Attack,Centre-Forward,350000.0,2023-06-30,SC1,64,64,180,75,32,Left,60.5,30.0,60.833333,46.333333,70.428571,61.750,8.2
594,Ethan Erhahon,St Mirren Fc,Scotland,Midfield,Central Midfield,500000.0,2023-05-31,SC1,67,76,178,66,21,Left,67.5,64.5,64.666667,64.333333,72.428571,57.125,9.6
595,Jordan Jones,St Mirren Fc,Northern Ireland,Attack,Left Winger,500000.0,2023-05-31,SC1,65,65,174,61,28,Right,61.5,43.5,54.166667,63.666667,68.142857,56.500,10.2
596,Dylan Reid,St Mirren Fc,Scotland,Midfield,Defensive Midfield,250000.0,2023-05-31,SC1,56,80,181,68,18,Right,58.5,56.5,50.666667,55.333333,66.285714,47.625,8.6
597,Connor Ronan,St Mirren Fc,Ireland,Midfield,Central Midfield,800000.0,2024-06-30,SC1,67,71,170,70,25,Right,69.5,58.0,56.833333,67.333333,64.571429,61.875,12.2
598,Jak Alnwick,St Mirren Fc,England,Goalkeeper,Goalkeeper,400000.0,2024-06-30,SC1,67,67,187,82,29,Left,21.0,20.5,38.666667,26.666667,52.571429,24.500,66.0
599,Conor Mccarthy,St Mirren Fc,Ireland,Defender,Centre-Back,500000.0,2025-06-30,SC1,65,69,193,82,24,Right,51.0,68.0,51.500000,53.000000,65.714286,34.625,8.6
600,James Scott,Hibernian Fc,Scotland,Attack,Centre-Forward,400000.0,2023-06-30,SC1,62,68,190,95,22,Right,64.5,15.0,47.000000,46.666667,62.142857,58.875,8.0
601,Sylvester Jasper,Hibernian Fc,Bulgaria,Attack,Left Winger,250000.0,2023-06-30,SC1,64,73,172,71,22,Right,64.5,36.0,50.000000,59.000000,68.714286,55.500,11.6
602,Chris Mueller,Hibernian Fc,United States,Attack,Right Winger,2500000.0,2025-12-31,SC1,70,71,175,74,26,Right,72.0,18.0,54.500000,60.000000,72.428571,56.125,11.0
603,Runar Hauge,Hibernian Fc,Norway,Attack,Left Winger,200000.0,2025-05-31,SC1,58,67,175,70,21,Right,57.5,47.5,50.000000,52.666667,66.857143,47.500,9.2
604,Nathan Wood,Hibernian Fc,England,Defender,Centre-Back,1200000.0,2024-06-30,SC1,66,80,188,75,20,Right,46.0,67.0,51.666667,42.000000,65.571429,31.000,12.2
605,Ryan Porteous,Hibernian Fc,Scotland,Defender,Centre-Back,1000000.0,2023-05-31,SC1,70,75,188,75,23,Right,61.0,69.0,64.333333,64.000000,68.714286,49.125,9.8
606,Demetri Mitchell,Hibernian Fc,England,Defender,Left-Back,300000.0,2024-05-31,SC1,64,65,181,71,26,Left,62.0,56.5,58.833333,58.333333,72.714286,58.125,10.6
607,Matt Macey,Hibernian Fc,England,Goalkeeper,Goalkeeper,300000.0,2024-06-30,SC1,67,69,201,81,28,Right,19.0,12.5,33.833333,23.000000,43.571429,20.875,66.0
608,Callum Hendry,St Johnstone Fc,Scotland,Attack,Centre-Forward,425000.0,2024-06-30,SC1,62,67,178,70,25,Right,63.0,30.5,54.000000,49.666667,70.857143,61.250,12.0
609,Ali Crawford,St Johnstone Fc,Scotland,Midfield,Central Midfield,375000.0,2024-05-31,SC1,64,64,179,63,31,Right,64.5,49.0,60.500000,64.000000,71.000000,60.000,12.6
610,Ali Mccann,St Johnstone Fc,Northern Ireland,Midfield,Central Midfield,2500000.0,2025-06-30,SC1,68,73,178,65,23,Right,68.0,69.0,65.833333,63.333333,72.285714,55.250,8.6
611,Michael O Halloran,St Johnstone Fc,Scotland,Attack,Right Winger,350000.0,2023-05-31,SC1,64,64,181,79,32,Right,62.0,46.0,54.166667,56.666667,77.428571,52.625,12.4
612,Tom Sang,St Johnstone Fc,England,Defender,Right-Back,300000.0,2023-06-30,SC1,62,70,185,74,23,Right,57.5,61.0,56.166667,56.666667,64.285714,46.500,9.0
613,Shaun Rooney,St Johnstone Fc,Scotland,Defender,Right-Back,600000.0,2024-06-30,SC1,67,69,191,79,26,Right,65.0,61.0,63.166667,61.666667,76.428571,50.750,11.0
614,Reece Devine,St Johnstone Fc,England,Defender,Left-Back,150000.0,2024-06-30,SC1,60,68,183,70,21,Left,58.0,57.0,56.166667,55.333333,65.857143,43.750,9.8
615,John Mahon,St Johnstone Fc,Ireland,Defender,Centre-Back,125000.0,2024-05-31,SC1,62,67,186,84,23,Right,50.0,61.5,49.166667,46.666667,62.428571,36.125,10.4
617,Jamie Mccart,St Johnstone Fc,Scotland,Defender,Centre-Back,400000.0,2025-06-30,SC1,65,70,186,75,25,Left,58.5,65.5,46.333333,51.333333,70.428571,37.000,10.4
